代號,名稱,年/月,  現金及約當現金,  不動產廠房及設備,資產總額,負債總額,  研究發展費,來自營運之現金流量,  購置不動產廠房設備（含預付）－CFI
000930,華南永昌證券,2026/06,"3,844,238","1,688,922","132,124,000","113,686,140",,"-5,879,259","-61,885"
000960,富邦證券,2026/06,"110,789,371","4,165,354","626,206,833","549,628,343",,"-52,343,977","-201,276"
000980,元大證券,2026/06,"155,182,561","6,718,026","1,920,419,215","1,714,411,627",,"-23,756,274","-445,279"
0009A0,永豐金證券,2026/06,"17,430,916","2,186,563","485,024,750","440,168,046",,"-36,951,524","-45,434"
1101,台泥,2026/06,"93,299,014","218,548,953","596,016,531","296,694,465","545,368","7,903,379","-13,931,211"
1102,亞泥,2026/06,"16,216,993","41,407,219","337,268,044","128,904,760",0,"3,028,658","-2,114,818"
1103,嘉泥,2026/06,"1,801,271","3,425,202","33,873,036","15,082,436",0,"-324,485","-87,628"
1104,環泥,2026/06,"1,160,917","7,439,635","31,740,961","6,342,409","79,374","752,168","-210,836"
1108,幸福,2026/06,"336,952","3,844,495","10,277,215","4,809,287",0,"149,111","-48,765"
1109,信大,2026/06,"2,012,012","2,583,577","11,498,534","1,319,710",0,"139,410","-173,731"
1110,東泥,2026/06,"601,405","1,164,743","13,366,409","3,689,682","3,620","402,552","-58,883"
1201,味全,2026/06,"1,263,989","9,157,879","19,047,444","11,082,256","143,744","256,095","-558,727"
1203,味王,2026/06,"2,254,872","2,535,418","10,712,429","3,356,196","4,023","496,918","-50,908"
1210,大成,2026/06,"8,133,442","32,539,602","78,585,270","43,834,881","111,007","2,726,228","-2,298,167"
1213,大飲,2026/06,"17,707","172,329","740,449","118,772",0,"4,784","-30,796"
1215,卜蜂,2026/06,"251,021","18,004,006","32,784,769","21,421,630",0,"1,251,944","-1,029,711"
1216,統一,2026/06,"111,954,151","206,862,285","762,860,615","551,120,224","542,270","30,750,026","-16,143,867"
1217,愛之味,2026/06,"552,580","2,081,298","15,700,133","7,240,174","22,196","102,130","-89,552"
1218,泰山,2026/06,"927,695","1,216,138","14,344,134","2,814,738","10,621","356,968","-35,821"
1219,福壽,2026/06,"832,111","3,994,238","9,637,800","5,628,012","24,257","-220,394","-155,856"
1220,台榮,2026/06,"269,289","1,170,647","3,480,202","991,872",0,"10,149","-49,226"
1225,福懋油,2026/06,"1,653,037","2,863,593","8,590,942","4,318,673","19,988","183,315","-26,242"
1227,佳格,2026/06,"2,060,251","5,160,275","31,014,453","12,431,323","86,012","180,710","-322,693"
1229,聯華,2026/06,"5,964,728","4,450,931","111,355,653","22,368,830","43,679","1,287,962","-112,129"
1231,聯華食,2026/06,"628,538","8,576,901","16,317,886","8,798,733","68,709","274,492","-823,272"
1232,大統益,2026/06,"3,172,462","1,308,669","10,715,479","4,974,265","4,980","696,778","-165,312"
1233,天仁,2026/06,"186,635","885,255","2,198,756","791,202","3,110","148,645","-25,065"
1234,黑松,2026/06,"1,282,802","6,132,497","24,359,164","5,923,049","27,537","430,475","-86,785"
1235,興泰,2026/06,"56,603","190,711","5,137,050","2,273,605",0,"-3,370",-126
1236,宏亞,2026/06,"65,152","2,172,977","3,575,495","963,253","10,310","97,110","-15,618"
1240,茂生農經,2026/06,"128,626","407,134","2,315,123","753,544","3,421","25,464","-10,957"
1259,安心,2026/06,"784,605","2,164,282","7,179,432","4,365,952",0,"439,646","-213,879"
1260,富味鄉,2026/06,"319,074","1,015,610","4,160,157","1,612,840","11,060","16,860","-43,744"
1264,德麥,2026/06,"758,277","2,450,482","6,185,771","1,785,139","37,778","386,806","-191,219"
1268,漢來美食,2026/06,"824,180","2,491,886","7,503,998","5,102,764","15,268","515,879","-503,125"
1269,乾杯,2026/06,"598,345","545,358","2,460,274","1,530,178","20,128","265,811","-24,493"
1271,晨暉生技,2026/06,"726,413","204,815","6,889,363","2,715,573","20,672","66,015","-97,990"
1293,利統,2026/06,"115,182","42,909","536,444","288,264","19,993","-24,067",-984
1294,漢田生技,2026/06,"264,054","538,708","1,227,050","404,762","7,435","79,888","-23,927"
1295,生合,2026/06,"305,469","2,042,683","3,226,020","1,915,344","59,960","93,153","-113,347"
1301,台塑,2026/06,"10,990,533","127,124,818","780,961,318","206,699,163","565,433","-4,083,686","-6,422,038"
1303,南亞,2026/06,"41,946,162","210,088,042","723,033,450","225,379,100",0,"3,278,205","-7,776,074"
1304,台聚,2026/06,"4,713,272","28,976,816","64,724,193","29,815,460","247,198","-538,301","-2,072,906"
1305,華夏,2026/06,"969,419","11,503,540","18,746,179","10,549,958","17,295","242,286","-1,196,924"
1307,三芳,2026/06,"3,581,708","5,873,826","18,690,205","8,731,367","209,573","-149,507","-372,407"
1308,亞聚,2026/06,"776,990","3,463,814","12,349,925","1,582,686",0,"375,052","-51,870"
1309,台達化,2026/06,"338,980","1,861,030","8,403,918","3,026,099","7,838","-1,101,560","-66,091"
1310,台苯,2026/06,"1,016,314","2,843,524","8,028,070","1,630,911",129,"-326,302","-2,681"
1312,國喬,2026/06,"7,715,609","28,238,239","67,696,922","34,394,297","20,587","47,405","-654,600"
1313,聯成,2026/06,"3,014,132","14,289,887","54,674,012","24,554,567",0,"-327,364","-178,171"
1314,中石化,2026/06,"2,243,908","23,727,787","124,897,130","49,484,140","73,415","348,987","-67,458"
1315,達新,2026/06,"1,841,400","2,181,959","14,208,685","672,283",0,"44,793","-47,183"
1316,上曜,2026/06,"2,925,693","4,872,195","28,369,248","13,446,411","55,675","-1,025,962","-226,569"
1319,東陽,2026/06,"5,265,545","18,627,016","39,358,743","11,729,184","435,621","4,436,563","-1,711,137"
1321,大洋,2026/06,"580,998","3,127,434","12,095,658","6,024,622","7,642","148,212","-56,775"
1323,永裕,2026/06,"846,891","1,626,218","4,600,549","1,951,650","21,534","71,869","-38,907"
1324,地球,2026/06,"240,814","369,818","1,118,240","221,898","5,748","25,341","-1,898"
1325,恆大,2026/06,"353,052","987,410","2,737,736","86,229","4,349","-24,534","-19,156"
1326,台化,2026/06,"18,436,040","148,860,332","728,084,007","169,858,981",0,"-446,000","-4,945,861"
1336,台翰,2026/06,"341,190","1,570,568","3,394,705","1,495,512",0,"-89,417","-59,755"
1337,再生-KY,2026/06,"1,056,116","2,050,478","6,360,496","2,777,300","10,761","-80,018","-425,123"
1339,昭輝,2026/06,"670,352","2,957,667","5,185,089","961,016","36,017","222,008","-123,266"
1342,八貫,2026/06,"178,505","1,324,668","3,820,724","1,570,073","37,714","179,323","-116,873"
1343,旭東環保,2026/06,"16,859","877,679","1,155,895","736,677","4,388","99,107","-13,290"
1402,遠東新,2026/06,"43,642,625","172,380,461","689,718,981","375,168,587","620,104","15,841,786","-5,758,396"
1408,中紡,2026/06,"103,766","2,899,961","4,882,034","8,780,922",819,"46,882","-31,915"
1409,新纖,2026/06,"9,928,442","21,302,488","253,988,650","194,568,582","286,095","-1,696,647","-872,229"
1410,南染,2026/06,"499,236","103,782","1,317,581","233,253","1,731","7,132","-1,911"
1413,宏洲,2026/06,"51,999","1,030,808","2,575,678","1,420,507",,"124,238","-5,195"
1414,東和,2026/06,"134,414","1,428,696","4,202,821","1,220,198","4,913","137,926","-13,640"
1416,廣豐,2026/06,"227,695","24,522","6,425,563","1,887,066",0,"161,042","-7,709"
1417,嘉裕,2026/06,"732,204","345,707","2,759,946","395,426","1,864","14,488","-5,359"
1418,東華,2026/06,"691,754","707,043","5,520,919","4,380,949",0,"-113,070","-7,073"
1419,新紡,2026/06,"1,677,670","553,946","27,743,736","4,956,677","24,529","-181,609","-127,465"
1423,利華,2026/06,"229,183","368,505","3,991,365","575,576",0,"13,130","-3,643"
1432,大魯閣,2026/06,"596,562","715,150","3,716,605","2,207,552",0,"-435,774","-112,367"
1434,福懋,2026/06,"3,861,496","9,311,891","64,311,999","15,652,669",0,"941,944","-385,688"
1435,中福,2026/06,"16,502","43,592","1,103,241","185,513",0,"-69,110",-236
1436,華友聯,2026/06,"2,030,943","13,431","20,960,297","14,677,875",0,"661,249",0
1437,勤益控,2026/06,"531,737","111,307","14,109,816","5,532,880",0,"21,533",-419
1438,三地開發,2026/06,"78,022","31,107","14,705,792","11,564,181",0,"-557,387",0
1439,雋揚,2026/06,"695,413","694,244","6,278,609","2,791,169",0,"-171,824",0
1440,南紡,2026/06,"3,848,462","19,204,575","46,228,660","17,247,024","16,255","266,972","-41,059"
1441,大東,2026/06,"92,182","395,224","1,289,228","925,721","1,777","-22,693",-730
1442,名軒,2026/06,"583,840","424,441","15,004,838","7,617,586",0,"-413,496",0
1443,立益物流,2026/06,"124,842","5,708,229","7,994,464","6,062,967",0,"213,383","-152,236"
1444,力麗,2026/06,"545,946","7,882,628","20,499,256","9,211,431","29,551","317,396","-251,946"
1445,大宇,2026/06,"232,451","560,590","4,419,354","2,285,789","7,598","-14,570","-4,009"
1446,宏和,2026/06,"1,317,038","1,145","3,151,528","479,329",0,"145,035",-504
1447,力鵬,2026/06,"1,135,801","4,217,247","17,307,365","8,236,642","68,069","296,492","-194,717"
1449,佳和,2026/06,"472,780","2,380,265","8,469,832","5,351,904","34,472","-200,392","-178,619"
1451,年興,2026/06,"1,179,143","851,189","8,872,230","1,477,100",0,"-23,489","-16,462"
1452,宏益,2026/06,"529,101","411,054","2,909,146","186,865","3,697","90,023","-5,334"
1453,大將,2026/06,"11,670","97,216","3,121,656","1,605,337",0,"-118,174",0
1454,台富,2026/06,"122,658","708,178","1,944,474","639,849","5,986","7,127","-20,568"
1455,集盛,2026/06,"470,871","3,932,056","9,985,826","3,779,648","24,614","22,351","-80,894"
1456,怡華,2026/06,"86,887","44,125","13,514,028","11,677,667",0,"-175,566",0
1457,宜進,2026/06,"310,820","2,779,920","16,779,495","8,066,015",0,"731,081","-8,855"
1459,聯發,2026/06,"1,297,465","861,939","5,226,931","2,117,298",0,"112,526",-94
1460,宏遠,2026/06,"583,601","4,771,819","10,782,387","5,147,123","84,303","361,216","-274,850"
1463,強盛新,2026/06,"828,325","22,890","3,168,234","492,276","1,110","-15,226","-4,703"
1464,得力,2026/06,"1,660,335","6,571,843","17,423,204","11,335,537","133,636","645,586","-153,520"
1465,偉全,2026/06,"267,709","350,764","1,726,748","166,203","2,518","-8,236",0
1466,聚隆,2026/06,"501,528","1,827,338","3,639,931","1,982,401","19,385","82,500","-171,212"
1467,南緯,2026/06,"1,711,144","2,007,616","9,138,111","6,125,760","44,276","-105,041","-189,429"
1468,昶和,2026/06,"477,894","669,509","3,252,694","1,717,558","2,308","-10,001",-303
1470,大統新創,2026/06,"268,270","363,222","1,206,229","198,013",0,"58,900","-23,998"
1471,首利,2026/06,"999,231","63,735","1,691,326","124,551","3,394","-128,738","-5,399"
1472,三洋實業,2026/06,"1,420,082","30,496","5,221,914","2,971,630",0,"-60,814","-2,613"
1473,台南,2026/06,"664,359","1,014,725","5,908,406","2,048,915","31,990","-94,543","-115,905"
1474,弘裕,2026/06,"748,299","1,466,907","3,771,733","1,572,792","22,375","240,808","-60,827"
1475,業旺,2026/06,"1,055,063","314,994","2,158,745","633,983","1,521","86,163","-1,498"
1476,儒鴻,2026/06,"6,201,035","12,140,654","38,183,027","9,164,345","107,247","3,150,337","-147,742"
1477,聚陽,2026/06,"2,254,901","5,960,397","23,966,704","10,077,182",0,"2,239,617","-208,630"
1480,東盟開發,2026/06,"436,739","2,145,620","5,532,793","2,629,202",929,"3,433","-38,764"
1503,士電,2026/06,"4,203,088","8,346,866","63,986,932","24,391,428","293,791","546,592","-930,084"
1504,東元,2026/06,"28,472,156","21,024,639","156,487,425","52,930,415","645,718","3,669,127","-899,538"
1506,正道,2026/06,"74,655","1,289,693","3,314,130","433,864","7,249","-31,863","-43,357"
1512,瑞利,2026/06,"107,548","137,012","2,733,800","2,062,500","4,042","-33,010","-4,670"
1513,中興電,2026/06,"2,676,136","12,143,266","48,474,236","27,293,370","122,388","1,865,669","-283,642"
1514,亞力,2026/06,"1,240,378","1,739,707","14,019,692","7,649,178","72,404","80,860","-52,334"
1515,力山,2026/06,"1,738,479","3,200,472","8,141,920","4,215,875","103,971","-177,293","-311,309"
1516,川飛,2026/06,"91,217","42,996","204,002","2,568",0,"-3,917",0
1517,利奇,2026/06,"801,785","933,725","4,362,168","923,889","36,838","1,836","-11,056"
1519,華城,2026/06,"7,162,332","3,920,054","33,088,218","23,690,722","263,070","3,496,632","-878,171"
1521,大億,2026/06,"331,088","818,566","3,125,045","1,244,855","72,896","89,732","-35,933"
1522,堤維西,2026/06,"2,412,050","13,545,422","38,859,182","28,880,664","561,943","703,232","-998,942"
1524,耿鼎,2026/06,"303,594","3,191,328","5,272,577","2,305,110","2,753","315,442","-237,622"
1525,江申,2026/06,"2,067,824","580,337","5,927,106","939,019","23,732","-104,418","-67,202"
1526,日馳,2026/06,"471,509","582,708","2,286,798","969,670","11,631","36,127","-8,406"
1527,鑽全,2026/06,"449,713","928,663","5,746,205","922,664","86,719","165,544","-49,650"
1528,恩德,2026/06,"555,057","1,175,750","5,506,038","3,335,675","38,371","-49,027","-62,568"
1529,樂事綠能,2026/06,"309,232","1,813,560","3,231,091","1,342,964","2,722","67,271","-24,007"
1530,亞崴,2026/06,"998,470","1,882,155","5,783,162","2,457,337","21,528","-15,346","-25,806"
1531,高林股,2026/06,"729,256","209,496","4,656,765","1,178,972","32,581","216,847","-62,309"
1532,勤美,2026/06,"5,585,644","13,727,513","55,040,108","35,692,677","17,556","187,781","-250,025"
1533,車王電,2026/06,"627,009","2,167,019","10,253,297","7,192,060","116,466","-526,764","-25,937"
1535,中宇,2026/06,"1,508,522","920,485","7,507,591","3,774,783","7,963","92,831","-44,365"
1536,和大,2026/06,"729,652","13,101,049","21,128,404","13,555,319","44,289","315,609","-122,006"
1537,廣隆,2026/06,"2,295,194","678,576","6,242,084","2,013,606","22,726","278,007","-89,253"
1538,正峰,2026/06,"14,655","76,834","245,756","127,608","3,221","-34,083","-1,958"
1539,巨庭,2026/06,"589,691","1,111,975","2,246,430","636,028","10,522","78,701","-14,358"
1540,喬福,2026/06,"38,567","284,482","1,638,851","224,440","6,394","77,906",-110
1541,錩泰,2026/06,"533,292","546,023","3,134,180","968,506","16,516","457,904",-225
1557,金豐機器,2026/06,"3,038,889","4,159,697","15,266,001","8,600,531","124,343","-48,674","-482,873"
1558,伸興,2026/06,"2,073,817","3,573,458","14,184,392","5,494,084","180,442","314,289","-110,797"
1560,中砂,2026/06,"2,323,684","5,788,164","14,894,528","5,457,971","104,503","1,256,630","-850,949"
1563,巧新,2026/06,"3,497,671","8,549,250","19,750,027","11,424,264","82,155","746,515","-1,611,373"
1565,精華,2026/06,"2,308,512","3,225,131","7,727,270","1,316,772","41,234","131,638","-21,602"
1568,倉佑,2026/06,"468,869","1,316,173","2,576,895","434,485","21,188","104,049","-134,178"
1569,濱川,2026/06,"835,332","2,569,483","6,993,017","3,846,883","115,567","-390,278","-234,181"
1570,力肯,2026/06,"444,941","169,073","1,194,871","157,762","8,154","53,892","-1,958"
1580,新麥,2026/06,"1,016,830","1,479,282","4,762,871","1,475,365","78,825","122,893","-116,745"
1582,信錦,2026/06,"4,068,583","2,431,673","13,316,100","5,729,230","76,035","-375,906","-329,247"
1583,程泰,2026/06,"1,921,196","3,682,823","14,168,159","6,926,079","66,815","49,694","-112,103"
1584,精剛,2026/06,"485,399","3,763,601","7,679,214","2,949,386","12,190","283,999","-564,330"
1585,鎧鉅,2026/06,"7,873","499,166","744,070","867,317","1,569","-1,790","-1,918"
1586,和勤,2026/06,"436,739","1,582,923","3,706,309","1,697,722","46,013","70,104","-10,343"
1587,吉茂,2026/06,"571,256","1,229,255","3,618,071","2,000,524","22,618","185,251","-29,312"
1590,亞德客-KY,2026/06,"8,695,538","29,751,078","66,030,556","11,207,748","665,077","5,954,216","-1,649,365"
1593,祺驊,2026/06,"484,862","236,987","1,885,555","416,746","6,597","47,653","-5,572"
1594,日高,2026/06,"301,899","151,120","625,150","263,411","6,973","14,933","-1,004"
1595,川寶,2026/06,"940,818","1,020,721","3,997,373","1,304,069","42,490","20,927","-79,092"
1597,直得,2026/06,"951,524","1,959,001","4,289,116","1,819,149","47,449","200,673","-23,756"
1598,岱宇,2026/06,"834,887","3,310,491","9,660,434","5,201,931","73,357","438,588","-64,679"
1599,宏佳騰,2026/06,"466,473","1,041,657","2,660,226","779,068","74,330","97,845","-20,122"
1602,太電,2026/06,"5,154,105","9,168,735","46,097,483","22,436,884","121,996","-171,751","-509,978"
1603,華電,2026/06,"318,051","3,360,374","12,571,204","4,391,225",0,"255,765","-130,148"
1604,聲寶,2026/06,"1,108,821","9,103,829","20,535,127","11,041,158","51,125","128,832","-768,284"
1605,華新,2026/06,"17,651,221","91,459,257","350,393,718","135,926,898","232,073","-2,034,710","-3,400,089"
1608,華榮,2026/06,"526,493","3,390,351","20,012,145","7,484,018",,"-315,661","-186,417"
1609,大亞,2026/06,"8,193,131","20,667,718","67,156,692","45,870,254","45,814","1,222,191","-663,114"
1611,中電,2026/06,"436,962","627,027","5,067,039","1,025,723",0,"65,711","-1,717"
1612,宏泰,2026/06,"1,286,289","1,363,632","11,392,687","2,027,876",0,"-244,313","-36,036"
1613,台一,2026/06,"806,011","1,407,221","6,994,772","4,385,056","5,067","-129,012","-147,023"
1614,三洋電,2026/06,"81,154","2,279,576","7,463,501","1,762,141","34,030","-15,703","-227,652"
1615,大山,2026/06,"95,288","1,474,768","6,615,957","1,919,360","6,256","529,012","-71,752"
1616,億泰,2026/06,"578,206","885,225","4,477,549","2,420,178","3,263","-101,552","-51,705"
1617,榮星,2026/06,"499,027","990,043","3,370,205","1,038,295","8,609","-161,466","-23,159"
