代號,名稱,目前狀態,上市別,最近上市日,證期會代碼,TSE 產業別,會計月份,統一編號,國際證券編號,電話,傳真,網址,電子信箱,董事長,總經理,發言人,財務主管,員工人數-母公司,實收資本額(元),面額,幣別(IPO&面額),設立日期,最近一次公開發行日,TSE上市日,OTC上市日,REG上市日,創新版上市日,首次承銷價格,下市日期,最近一次撤銷公開發行日,全額交割起日(一),全額交割迄日(一),全額交割起日(二),全額交割迄日(二),全額交割起日(三),全額交割迄日(三),TSE產業名,TEJ產業名,TEJ子產業名,TSE舊產業名,主計處產業名,主要經營業務1,主要經營業務2,主要經營業務3,主要產品比重,公司中文全稱,公司英文全稱,公司中文簡稱,公司英文簡稱,公司中文地址,公司英文地址,股務單位,股務單位電話,股務單位地址,首次掛牌代碼,首次掛牌日期,首次掛牌市場,首次掛牌TSE產業,前一次TSE產業變更,前一次TSE產業變更日,前二次TSE產業變更,前二次TSE產業變更日,前三次TSE產業變更,前三次TSE產業變更日,首次掛牌名稱,前一次改名,前一次改名日期,前二次改名,前二次改名日期,前三次改名,前三次改名日期,前四次改名,前四次改名日期,首次掛牌TEJ子產業,前一次TEJ子產業變更,前一次TEJ子產業變更日,前二次TEJ子產業變更,前二次TEJ子產業變更日,前三次TEJ子產業變更,前三次TEJ子產業變更日,前四次TEJ子產業變更,前四次TEJ子產業變更日,危機發生日,危機發生迄日,危機事件大類別,危機事件大類別說明,危機事件類別,危機事件類別說明,會計師事務所,會計師1,會計師2,會計師3,會計師變更日,前一次變更市場日期,前一次變更市場,前二次變更市場日期,前二次變更市場,前三次變更市場日期,前三次變更市場,TSE產業_代碼,TSE產業_名稱,TEJ產業_代碼,TEJ產業_名稱,TEJ子產業_代碼,TEJ子產業_名稱,TSE舊產業_代碼,TSE舊產業_名稱
1101,台泥,Current ,TSE,1962/02/09,1101,01,12,ID 11913502,TW0001101004,02-25317099,02-25316529,https://www.tccgroupholdings.com/tw/,finance@taiwancement.com,張安平,程耀輝,葉毓君(永續長),于明仁(財務長),"1,256","77,231,817,420",10,NTD,1950/12/29,,1962/02/09,,,,,,,,,,,,,M1100 水泥工業,M11A 水泥製造,M11A 水泥製造,M1100 水泥工業,2331 水泥製造業,有關水泥及水泥製品之生產及運銷,有關水泥原料及水泥製品原料之開採製造運銷及附屬礦石之開採經銷,經營有關水泥工業及其附屬事業,"2025/12:水泥,預拌混擬土(80.05%),電力供給及儲能,可充式鋰離子電池(16.70%),海陸運輸(3.25%)",台灣水泥,"TCC Group Holdings CO., LTD.",台泥,TCC,台北市中山區中山北路二段 113號,"113, Chungshan N. Rd., Sec. 2, Taipei, Taiwan",中國信託商業銀行股務代理單位,02-66365566,台北市重慶南路1段83號5樓,1101,1962/02/09,TSE,M1100 水泥工業,,,,,,,台灣水泥,,,,,,,,,11A   水泥製造,,,,,,,,,2026/03/11,,Q,重大財務事件(2026/03/11),V,資產減損/客戶倒帳(2026/03/11),勤業眾信聯合會計師事務所,翁雅玲,邵志明,,2026/05/13,,,,,,,M1100,水泥工業,M11A,水泥製造,M11A,水泥製造,M1100,水泥工業
1102,亞泥,Current ,TSE,1962/06/18,1102,01,12,ID 03244509,TW0001102002,02-27338000,02-2736-6263,http://www.acc.com.tw,service@acc.com.tw,徐旭東,李坤炎,王照宇(協理),吳玲綾(副總經理),474,"35,465,628,810",10,NTD,1957/03/21,,1962/06/18,,,,,,,,,,,,,M1100 水泥工業,M11A 水泥製造,M11A 水泥製造,M1100 水泥工業,2331 水泥製造業,"水泥,水泥之半成品,水泥製品,預拌混凝土及其添加劑之生產運銷","水泥原料,水泥製品原料及砂石開採及爐石粉,石灰石粉之製造運銷",其他未述及之項目請參照本公司營業執照之所營事業,"2025/12:水泥及熟料(94.00%),爐石粉(6.00%)",亞洲水泥,Asia Cement Corporation,亞泥,ACC,"台北市大安區敦化南路二段 207號30, 31樓","30/F, 207, Tun Hua S. Rd. Sec.2, Taipei, Taiwan",亞東證券股務代理單位,02-77531699,新北市新站路16號13樓,1102,1962/06/18,TSE,M1100 水泥工業,,,,,,,亞洲水泥,,,,,,,,,11A   水泥製造,,,,,,,,,2026/01/15,,Q,重大財務事件(2026/01/15),T,遭勒令或自行停(復)工(2026/01/15),勤業眾信聯合會計師事務所,劉紋伶,陳培德,,2026/05/13,,,,,,,M1100,水泥工業,M11A,水泥製造,M11A,水泥製造,M1100,水泥工業
1103,嘉泥,Current ,TSE,1969/11/27,1103,01,12,ID 11892801,TW0001103000,02-25515211,02-25114002,http://www.chcgroup.com.tw,ir@chcgroup.com.tw,張剛綸,王立心,金哲毅(董事會秘書室協理),周月珍(財務主管),92,"8,328,745,530",10,NTD,1954/12/13,1969/11/14,1969/11/27,,,,,,,,,,,,,M1100 水泥工業,M11A 水泥製造,M11A 水泥製造,M1100 水泥工業,2331 水泥製造業,水泥、生產、銷售,,,"2025/12:水泥(41.00%),旅宿服務(28.00%),裝卸-倉儲(21.00%),資產管理(10.00%)",嘉新水泥,Chia Hsin Cement Corporation,嘉泥,CHC,台北市中山區中山北路二段96號 1樓,"1/F, 96, Chung Shan N. Rd. Sec.2, Taipei, Taiwan",群益金鼎證券股務代理單位,02-27023999,台北市敦化南路2段97號B2,1103,1969/11/27,TSE,M1100 水泥工業,,,,,,,嘉新水泥,,,,,,,,,11A   水泥製造,,,,,,,,,2017/12/28,,Q,重大財務事件(2017/12/28),M,銀行續貸考量(2017/12/28),勤業眾信聯合會計師事務所,陳薔旬,梁盛泰,,2022/05/03,,,,,,,M1100,水泥工業,M11A,水泥製造,M11A,水泥製造,M1100,水泥工業
1104,環泥,Current ,TSE,1971/02/02,1104,01,12,ID 07568009,TW0001104008,02-25077801,02-25075870,http://www.ucctw.com,ucc@ucctw.com,侯博義,侯智元,楊宗仁(副總經理),楊宗仁(副總經理),567,"6,866,818,160",10,NTD,1960/03/21,1971/02/01,1971/02/02,,,,12.33,,,,,,,,,M1100 水泥工業,M11A 水泥製造,M11A 水泥製造,M1100 水泥工業,2331 水泥製造業,水泥及預拌混凝土之製造與銷售。,石膏板之生產、加工及銷售與進、出口、代理銷售。,其餘請參考本公司登記營業項目。,"2025/12:預拌混凝土(64.00%),水泥(22.00%),石膏板(14.00%)",環球水泥,Universal Cement Corporation,環泥,UCC,台北市中山區南京東路二段 125號10樓,"10/F, 125, Nanking E. Rd. Sec.2, Taipei, Taiwan",永豐金證券股務代理單位,02-23816288,台北市博愛路17號3樓,1104,1971/02/02,TSE,M1100 水泥工業,,,,,,,環球水泥,,,,,,,,,11A   水泥製造,,,,,,,,,2024/03/15,,Q,重大財務事件(2024/03/15),V,資產減損/客戶倒帳(2024/03/15),資誠聯合會計師事務所,王菘澤,林秀珊,,2026/08/13,,,,,,,M1100,水泥工業,M11A,水泥製造,M11A,水泥製造,M1100,水泥工業
1108,幸福,Current ,TSE,1990/06/06,1108,01,12,ID 40601248,TW0001108009,02-25092188,02-25048672,http://www.luckygrp.com.tw,wendy@luckygrp.com.tw,陳韻如,陳明賢,溫秀菊(財務部經理),陳韻如(副總經理),388,"4,047,380,000",10,NTD,1974/05/07,1983/11/28,1990/06/06,,,,25,,,,,,,,,M1100 水泥工業,M11A 水泥製造,M11A 水泥製造,M1100 水泥工業,2331 水泥製造業,有關水泥及水泥製品之工業及相關事業,,,"2025/12:水泥及熟料(52.83%),水泥(29.90%)",幸福水泥,Lucky Cement Co.,幸福,Lucky Cement,台北市中山區松江路237 號15樓,"15/F, 237, Song Chiang Rd., Taipei, Taiwan",永豐金證券股務代理單位,02-23816288,台北市博愛路17號3樓,1108,1990/06/06,TSE,M1100 水泥工業,,,,,,,幸福水泥,,,,,,,,,11A   水泥製造,,,,,,,,,,,,,,,勤業眾信聯合會計師事務所,陳招美,陳薔旬,,2021/05/12,,,,,,,M1100,水泥工業,M11A,水泥製造,M11A,水泥製造,M1100,水泥工業
1109,信大,Current ,TSE,1991/12/05,1109,01,12,ID 03279507,TW0001109007,02-23816731,02-23314086,http://www.hsingta.com.tw/,service@hsingta.com.tw,楊智雄,楊大寬,張清壽(資深協理),蔡素秋(財會部經理),348,"3,411,588,680",10,NTD,1964/03/15,,1991/12/05,,,,60,,,,,,,,,M1100 水泥工業,M11A 水泥製造,M11A 水泥製造,M1100 水泥工業,2331 水泥製造業,有關水泥及水泥製品之生產及運銷,,,"2025/12:水泥及熟料(62.71%),混凝土(12.52%)",信大水泥,"Hsing Ta Cement Co., Ltd.",信大,HSINGTA,台北市中正區寶慶路37號 7樓,"7/F, 37, Pao Ching Rd., Taipei, Taiwan",中國信託商業銀行股務代理單位,02-66365566,台北市重慶南路1段83號5樓,1109,1991/12/05,TSE,M1100 水泥工業,,,,,,,信大水泥,,,,,,,,,11A   水泥製造,,,,,,,,,2026/06/19,,Q,重大財務事件(2026/06/19),F,疑似盜取資產或掏空(2026/06/19),資誠聯合會計師事務所,余正富,支秉鈞,,2026/03/12,,,,,,,M1100,水泥工業,M11A,水泥製造,M11A,水泥製造,M1100,水泥工業
1110,東泥,Current ,TSE,1994/10/22,1110,01,12,ID 83078600,TW0001110005,07-2711121,07-9505895,http://www.southeastcement.com.tw,southeast@secement.com,陳敏斷,吳炎輝,黃薪翰(財務部副總經理),黃薪翰(財務部副總經理),59,"5,720,007,970",10,NTD,1956/12/28,,1994/10/22,,,,41,,,,,,,,,M1100 水泥工業,M11A 水泥製造,M11A 水泥製造,M1100 水泥工業,2331 水泥製造業,(1)水泥製造與買賣(2)石灰石之開採及銷售,(3)水泥加工製品及預拌混凝土之製造及銷售,(4)廠房及大樓出租業(5)廢棄物處理業,"2025/12:水泥(60.13%),預拌混凝土(24.93%),爐石粉(6.36%),租賃(4.78%),房地產(3.80%)",東南水泥,"Southeast Cement Co.,Ltd.",東泥,SE CEMENT,高雄市前金區文東里9 鄰五福三路21號 4樓之1,"4/F-1, 21, Wu Fu 3 Rd., Kaohsiung, Taiwan, R.O.C.",元大證券股務代理單位,02-25865859,台北市敦化南路2段67號B1,1110,1994/10/22,TSE,M1100 水泥工業,,,,,,,東南水泥,,,,,,,,,11A   水泥製造,,,,,,,,,,,,,,,國富浩華聯合會計師事務所,黃致富,黃鈴雯,,2025/05/06,,,,,,,M1100,水泥工業,M11A,水泥製造,M11A,水泥製造,M1100,水泥工業
1201,味全,Current ,TSE,1962/02/09,1201,02,12,ID 11347802,TW0001201002,02-25065020,02-25063182,https://www.weichuan.com.tw,service@weichuan.com.tw,徐文芳,滕以勇,李文學(財務長),李文學(財務長),"1,426","5,060,629,000",10,NTD,1953/09/22,,1962/02/09,,,,,,,,,,,,,M1200 食品工業,M12C 飲料乳品,M12C 飲料乳品,M1200 食品工業,0920 非酒精飲料製造業,食品製造及販賣,,,"2025/12:乳品(60.30%),飲料(19.90%),方便食品(9.30%)",味全食品工業,Wei Chuan Foods Corp.,味全,WEI CHUAN,台北市中山區松江路 125號,"125, Sung Chiang Rd., Taipei, Taiwan",元大證券股務代理單位,02-25865859,台北市敦化南路2段67號B1,1201,1962/02/09,TSE,M1200 食品工業,,,,,,,味全食品工業,,,,,,,,,12C   飲料乳品,,,,,,,,,2017/03/27,,Q,重大財務事件(2017/03/27),V,資產減損/客戶倒帳(2017/03/27),資誠聯合會計師事務所,黃世鈞,葉翠苗,,2024/05/07,,,,,,,M1200,食品工業,M12C,飲料乳品,M12C,飲料乳品,M1200,食品工業
1203,味王,Current ,TSE,1964/08/24,1203,02,12,ID 07067309,TW0001203008,02-25717271,02-25811006,https://www.vewong.com/,wei@vewong.com.tw,陳清福,陳恭平,魏璟雄(協理),呂文傑(副理),754,"2,400,000,000",10,NTD,1959/07/04,,1964/08/24,,,,,,,2000/07/25,2002/07/05,,,,,M1200 食品工業,M12Z 其他食品,M12Z 其他食品,M1200 食品工業,0896 調味品製造業,味精.醬油.罐頭.調理速食品.飲料等製造及營銷有關進出口業務,洋菸酒類及飲料之進口及經銷,汽車檢驗及修理,"2025/12:調味品(70.00%),速食品(24.00%)",味王,Ve Wong Corporation,味王,Ve Wong,台北市中山區中山北路二段79號 5樓,"5/F, 79, Chung Shan N. Rd. Sec.2, Taipei, Taiwan",群益金鼎證券股務代理單位,02-27023999,台北市敦化南路2段97號B2,1203,1964/08/24,TSE,M1200 食品工業,,,,,,,中國醱酵工業,味王,1979/05/01,味王醱酵工業,1970/01/01,中國醱酵工業,1959/07/04,,,12Z   其他食品,,,,,,,,,2002/05/23,,Y,財務危機(2002/05/23),N,全額交割並下市(興)櫃(2002/05/23),大中國際聯合會計師事務所,溫明郁,張卉諭,,2024/05/13,,,,,,,M1200,食品工業,M12Z,其他食品,M12Z,其他食品,M1200,食品工業
1210,大成,Current ,TSE,1978/05/20,1210,02,12,ID 73008303,TW0001210003,06-2531111,06-2534596,http://www.dachan.com,ir@ms.greatwall.com.tw,韓家宇,韓芳豪,夏銜譽(副總經理),200308起NA,"3,198","8,947,672,220",10,NTD,1960/12/28,1976/05/20,1978/05/20,,,,12.57,,,,,,,,,M1200 食品工業,M12B 油脂飼料,M12B 油脂飼料,M1200 食品工業,0870 動物飼品製造業,飼料,大宗油脂,肉品,"2025/12:飼料(51.81%),食品(21.26%),肉品(19.70%),大宗物資(7.23%)",大成長城企業,"Great Wall Enterprise Co., Ltd.",大成,GREATWALL,台南市永康區蔦松二街 3號,"No.3, Niaosong 2nd St., Yongkang Dist., Tainan City, Taiwan",中國信託商業銀行股務代理單位,02-66365566,台北市重慶南路1段83號6樓,1210,1978/05/20,TSE,M1200 食品工業,,,,,,,大成長城企業,,,,,,,,,12B   油脂飼料,,,,,,,,,,,,,,,安侯建業聯合會計師事務所,李逢暉,蔡佩汝,,2025/05/05,,,,,,,M1200,食品工業,M12B,油脂飼料,M12B,油脂飼料,M1200,食品工業
