industry,findep_s
28F,80.6622523251112
25A,4.696545454545454
28K,1.99195578466037
30A,1.6751763791480951
14B,1.4084156534954406
17H,1.1090695541647226
22A,0.6684433604263373
19B,0.4870362054769121
17C,0.4193803011831868
99H,0.4075642733774971
22X,0.1575434100948363
22B,0.1221364285066119
19A,0.08118044480815931
26A,-0.06078744719823558
14C,-0.10670286463209137
18,-0.14854799026144108
13B,-0.19670984066881203
12A,-0.24121137940604606
16,-0.25517013411140144
14A,-0.2879193072394782
14Z,-0.2886009680560481
21A,-0.38518996741206546
11B,-0.43057447783333913
14F,-0.4646071130789799
17G,-0.48039639870009
12C,-0.48233241687112405
12B,-0.5726569217540842
26D,-0.5750291824894858
99K,-0.647199779823247
15D,-0.6630919698009609
15C,-0.6696915794868703
20B,-0.6755049830534632
23C,-0.6794836137285825
20A,-0.7080785982094049
23D,-0.7544750928718535
17Z,-0.8248139399789784
17F,-0.8421306913738801
23B,-0.8742648885943841
15E,-0.8949969313640119
23U,-0.9362803699405648
99D,-0.9539195423706244
15A,-0.9568814638027049
13A,-0.9740624064359078
15Z,-0.9748681675649032
99L,-1.0127434320077118
25B,-1.0148974148975731
23Z,-1.128471071256186
27A,-1.2418100544975812
15B,-1.2522063756080843
99Z,-1.2748279282763328
26C,-1.3153126729155487
21C,-1.4384370670949234
23G,-1.4500953333259088
17X,-1.4562757909215955
23E,-1.4716149621493246
99I,-1.5133178823534943
23K,-1.5598067482272266
99B,-1.5646380001890692
17B,-1.595887481177885
11A,-1.5995319461869133
23A,-1.6647664281252514
99C,-1.6849396929824563
29B,-1.7147740245769383
99E,-1.7165360601427115
29A,-1.7888510713454846
27B,-1.8291746427304494
14E,-1.9054259962294362
25C,-2.0272138194422205
23H,-2.2880095776161298
12Z,-2.2902450334358373
99G,-2.434168585979171
23T,-2.45865729848951
11C,-2.5454036538374947
27C,-2.6260178177986395
17E,-2.649189326069549
26E,-2.7067029446571045
21B,-3.024791968162084
25E,-3.427539553009581
17Y,-3.529481897545273
14D,-3.8275885103540412
28L,-4.3913106915894415
26B,-4.584894446950647
13C,-4.664350787771355
15H,-4.859715992283915
28H,-5.4573232936858735
23X,-6.207264744037521
29D,-8.391392167464065
28N,-9.061292366170415
99F,-10.884994185384501
28A,-11.050916344543609
30C,-11.65765296661289
25D,-14.65153816938853
31B,-23.182448423283844
28J,-30.954571648098348
28I,-46.54097324822444
25F,-87.8840373709623
